personCLASE,corpus,palabras,signal_mean_chroma_stft,signal_mode_chroma_stft,signal_mean_mfcc,signal_iqr_mfcc,zero_crossings,signal_mean_spectral_bandwidth,signal_mode_spectral_bandwidth,signal_mean_beats,signal_estimate_tuning,fftfreq_mean,fftfreq_mode,fftfreq_iqr,mean_SIGNAL_chroma_cq,signal_iqr_chroma_cq,signal_mean_y_harmonic,signal_median_y_harmonic,signal_mean_percussive,signal_mode_percussive,signal_median_stft,signal_iqr_stft,signal_median_spectral_bandwidth,mean_signal_spectral_contrast,signal_iqr_percussive
CHILD,0,20,0.3712561,0.24485506,-12.107902,21.87696934,1571,2873.273683,5144.00814,32,-0.33,-1.77E-18,-0.499987804,0.499987804,0.39824063,0.501868358,2.00E-05,0.000455817,-5.79E-06,-0.014787961,0.011143689,0.075415429,2543.400695,19.03717349,0.023301255
CHILD,0,21,0.3007889,0.08108564,-8.895933,27.45456481,2725,2953.793231,3480.377398,3,0,-2.21E-17,-0.499983814,0.499983814,0.27943406,0.534293788,9.43E-06,0.000525206,0.000202114,-0.017318092,0.056161914,0.32633482,2906.100524,21.14708399,0.029260525
CHILD,0,22,0.24824949,0.14430508,-9.814595,23.70396948,1017,2335.812462,3205.293338,22,0.2,8.21E-19,-0.499988449,0.499988449,0.17812663,0.148291992,2.25E-05,0.035001494,9.81E-05,-0.017418025,0.033427674,0.200259947,2292.917723,21.34177833,0.01872911
CHILD,1,23,0.21948327,0.093283,-10.173223,28.56750345,1212,1999.40444,1688.685466,26.5,-0.39,-1.25E-05,-0.5,0.499987462,0.25108573,0.316897462,6.85E-05,0.006923771,8.62E-05,-0.07569147,0.010219373,0.094073218,1918.288848,22.19750872,0.027577946
CHILD,1,24,0.26129577,0.041494418,-13.557513,27.60119331,2477,2285.466272,1655.002878,23,0.2,-1.53E-05,-0.5,0.499984679,0.2856895,0.450594039,6.58E-06,-0.000482667,6.64E-05,-0.022053257,0.016468784,0.165173417,1968.870817,20.39259809,0.037569751
CHILD,1,25,0.26576576,0.07102551,-15.610659,25.30379391,1724,2464.679301,1698.473462,3,0.12,1.21E-17,-0.499986668,0.499986668,0.24271357,0.270106389,5.82E-05,0.000431371,4.26E-05,-0.21724232,0.009777177,0.092005769,1896.410803,21.10614081,0.042284969
CHILD,1,26,0.24069677,0.0835356,-12.036276,30.9471879,2568,2393.468086,2123.234832,21,-0.48,5.35E-18,-0.499985512,0.499985512,0.2525467,0.278711881,3.20E-05,0.001872403,-8.03E-06,-0.00335324,0.010548936,0.10895657,2092.182511,21.53090538,0.019774161
CHILD,1,27,0.24781355,0.19292213,-12.430932,28.75079024,2604,2154.000782,1514.689953,27,-0.08,-1.23E-18,-0.499988106,0.499988106,0.24705113,0.27932932,8.04E-05,0.003644227,4.21E-05,-0.19748181,0.014080603,0.18610329,1919.942824,21.59418301,0.063733393
CHILD,1,28,0.28946728,0.03271349,-14.422274,26.42349005,1799,3356.271859,1713.459828,13.5,0.11,-3.56E-18,-0.499984337,0.499984337,0.31133622,0.463684692,6.18E-05,0.000355148,5.29E-05,-0.031195952,0.009337908,0.062181982,2308.393352,18.93232126,0.015084561
CHILD,1,29,0.35974488,0.045559324,-15.028487,24.63512182,3120,3316.431071,1791.127472,27,-0.45,-1.73E-17,-0.499987323,0.499987323,0.2971782,0.431124822,3.14E-05,0.000147927,5.49E-05,-0.0409345,0.007316731,0.079235746,2752.107098,19.05130955,0.025502497
CHILD,1,30,0.39884356,0.139477,-10.886848,27.29024839,4115,3465.989238,3446.006075,16,-0.08,-1.08E-05,-0.5,0.499989183,0.4120018,0.535745367,3.17E-05,0.000335107,4.83E-05,-0.010213255,0.010285658,0.146017029,3019.639183,18.45489696,0.019719682
CHILD,1,31,0.32689086,0.21206996,-11.314074,35.64422083,3457,2427.172828,4140.406415,11,0.29,-1.58E-05,-0.5,0.499984233,0.31654185,0.426424002,9.39E-05,0.000937166,2.68E-05,-0.2083716,0.021574708,0.18608843,1982.058513,22.69047677,0.046954791
CHILD,1,32,0.2588505,0.19002156,-13.80848,35.00325871,1545,2178.152472,3095.776102,16,0.19,-1.57E-05,-0.5,0.499984345,0.23882385,0.263489866,2.87E-05,0.005251324,4.85E-05,0.000577348,0.009815872,0.095362841,2026.232141,22.48699825,0.026799115
CHILD,1,33,0.2216674,0.06200051,-16.049477,34.49334216,972,2323.425464,4604.37342,8,0.15,-1.36E-05,-0.5,0.499986357,0.21105883,0.21270733,3.84E-05,0.006014242,6.29E-05,0.002045937,0.008618959,0.080187799,2283.840408,21.71869119,0.026026
CHILD,1,34,0.27557495,0.031165415,-16.289013,33.06524491,3797,2672.416184,3159.134797,23,-0.31,-6.06E-18,-0.499989338,0.499989338,0.26244923,0.359009604,3.57E-05,0.000585943,5.40E-05,-0.6750242,0.011749169,0.126132994,2373.167579,21.11422508,0.034255709
CHILD,1,35,0.28640336,0.03451453,-17.771317,23.45319819,2017,3109.109177,3106.620802,34,-0.44,-1.18E-05,-0.5,0.499988183,0.26798886,0.380110024,2.61E-05,7.81E-05,4.04E-05,-0.061025616,0.007999305,0.08586489,2349.774392,20.43307896,0.022935682
CHILD,1,36,0.29466653,0.26895437,-13.595208,24.20535183,2406,3606.601521,3902.986607,7,0.43,-1.33E-05,-0.5,0.499986729,0.38390157,0.582658539,4.95E-05,8.96E-05,3.41E-05,-8.41E-05,0.006890569,0.075947331,2918.371648,18.98454826,0.017777567
CHILD,1,37,0.25135675,0.092540294,-14.433826,32.43334126,1514,2339.333168,1906.72776,3,-0.28,-1.57E-05,-0.5,0.499984347,0.27054045,0.397913888,4.88E-05,0.005224987,4.45E-05,-0.024397783,0.011010286,0.11641472,2098.296955,21.67013738,0.029594758
CHILD,1,38,0.3970863,0.0423233,-12.146087,24.41691709,3749,3161.875616,2107.862125,21.5,0.38,1.84E-17,-0.499986506,0.499986506,0.36026162,0.42558335,4.75E-05,0.000447395,2.37E-05,0.000871958,0.016386412,0.162976655,2737.917648,18.26847967,0.023552305
CHILD,1,39,0.48035112,0.07674365,-11.662467,24.79983449,2555,3883.746818,2015.482919,33,-0.26,6.17E-18,-0.499988571,0.499988571,0.36104062,0.438675672,4.13E-05,0.000251549,1.95E-05,4.61E-05,0.006419906,0.050586696,3240.20772,18.20515991,0.006539551
CHILD,1,40,0.33135703,0.08974215,-17.332811,28.52341044,4799,2611.143872,1821.941712,13,0.06,-1.22E-05,-0.5,0.499987846,0.3593151,0.620362871,3.35E-05,0.00034716,2.34E-05,-0.016419059,0.010811635,0.143113138,2433.654549,20.11552391,0.029042743
CHILD,1,41,0.3366718,0.0900302,-11.073163,30.73596692,4417,2779.652056,2529.067422,14.5,0.26,-4.61E-18,-0.499988421,0.499988421,0.33282456,0.493173308,3.99E-05,0.000384275,2.60E-05,-0.037705794,0.022460103,0.227898685,2379.041711,19.61043954,0.036628108
CHILD,1,42,0.29411727,0.09878502,-15.443204,28.96958017,2152,2277.150382,3910.40866,4,-0.05,-1.72E-05,-0.5,0.499982827,0.35256702,0.599185829,7.45E-06,7.51E-05,6.07E-05,-0.080178864,0.012780883,0.125903459,2002.018754,20.60634895,0.036838518
CHILD,1,43,0.25775895,0.06782899,-20.032648,28.38403141,3400,2383.672081,2262.317949,19,-0.35,-1.17E-05,-0.5,0.499988302,0.24378236,0.33840647,2.44E-05,0.001459539,3.82E-05,-0.023758588,0.010148352,0.128439102,2099.26104,22.60274872,0.026841387
CHILD,1,44,0.3067654,0.037468754,-16.812962,27.78463817,4689,2885.403503,2583.5242,12.5,-0.04,-1.07E-05,-0.5,0.499989303,0.2862043,0.41645785,2.00E-05,0.000553667,4.03E-05,-0.06499035,0.012199714,0.147647618,2492.203375,19.77765124,0.019261697
